"","Year","Genusspecies","Concession","N","TotalCounts","sd","se","ci","Group"
"5",2006,"Centrostephanuscoronatus","OutConcession",65,1.27692307692308,2.6309913311555,0.326334311466381,0.651927731237735,"Algae"
"6",2006,"Chromispunctipinnis","OutConcession",66,5.63636363636364,9.81151029483913,1.20771343095082,2.41197027542605,"Fish"
"9",2006,"Eiseniaarborea","OutConcession",59,42.7627118644068,44.6261632642938,5.80983159663086,11.6296414869154,"Invertebrates"
"13",2006,"Haliotiscorrugata","InConcession",65,1.93846153846154,3.27336277338059,0.406010682810456,0.811099581020224,"Algae"
"15",2006,"Haliotisfulgens","InConcession",65,0.8,2.18088284875644,0.270505225315662,0.540396310260987,"Algae"
"23",2006,"Macrocystispyrifera","OutConcession",65,17.1230769230769,9.99923073964269,1.24025193088784,2.47768806115941,"Invertebrates"
"26",2006,"Megathuracrenulata","OutConcession",65,2.29230769230769,3.18062040392219,0.39450740762951,0.78811914706947,"Algae"
"27",2006,"Mesocentrotusfranciscanus","InConcession",65,1.83076923076923,3.53362964408248,0.438292815040329,0.875590553880446,"Algae"
"34",2006,"Panulirusinterruptus","InConcession",65,13.1384615384615,36.2994821429474,4.50239663332619,8.99457126989587,"Algae"
"35",2006,"Paralabraxclathratus","OutConcession",66,2.16666666666667,2.48430973749146,0.305797389642298,0.610719559141954,"Fish"
"37",2006,"Parastichopusparvimensis","InConcession",65,1.95384615384615,3.67181311322643,0.455432364960215,0.90983074101706,"Algae"
"44",2006,"Semicossyphuspulcher","InConcession",66,3.60606060606061,3.53391823456317,0.434995264491432,0.868745532686845,"Fish"
"52",2007,"Centrostephanuscoronatus","OutConcession",101,4.25742574257426,7.16470999461462,0.712915290171076,1.41440363081937,"Algae"
"53",2007,"Chromispunctipinnis","OutConcession",101,10.3465346534653,12.9386518954367,1.28744398271405,2.5542521933992,"Fish"
"56",2007,"Eiseniaarborea","OutConcession",93,48.1827956989247,52.0269466628173,5.39494305136578,10.7148225750482,"Invertebrates"
"60",2007,"Haliotiscorrugata","InConcession",101,1.89108910891089,2.58805328422353,0.257520926804752,0.510914184204415,"Algae"
"62",2007,"Haliotisfulgens","InConcession",101,0.237623762376238,0.618845939656796,0.0615774724968959,0.122167951616509,"Algae"
"71",2007,"Macrocystispyrifera","OutConcession",100,19.59,10.6373603089975,1.06373603089974,2.11068306452453,"Invertebrates"
"74",2007,"Megathuracrenulata","OutConcession",101,1.62376237623762,1.93313985602964,0.192354605062668,0.381626057901179,"Algae"
"75",2007,"Mesocentrotusfranciscanus","InConcession",101,1.2970297029703,3.54272368229713,0.352514181852332,0.699378096670658,"Algae"
"82",2007,"Panulirusinterruptus","InConcession",101,6.81188118811881,17.2642479542476,1.71785687754831,3.40817911795565,"Algae"
"83",2007,"Paralabraxclathratus","OutConcession",101,6.87128712871287,4.979283816648,0.49545725781755,0.982973088155799,"Fish"
"85",2007,"Parastichopusparvimensis","InConcession",101,2.10891089108911,2.82807705021985,0.281404184174811,0.558297886596181,"Algae"
"92",2007,"Semicossyphuspulcher","InConcession",101,5,4.42718872423573,0.440521742869287,0.873982591143021,"Fish"
"100",2008,"Centrostephanuscoronatus","OutConcession",110,3.40909090909091,7.8848309302736,0.751789131454239,1.49002161767953,"Algae"
"101",2008,"Chromispunctipinnis","OutConcession",110,8.66363636363636,14.8016099252857,1.41127813243662,2.7971073774654,"Fish"
"104",2008,"Eiseniaarborea","OutConcession",101,30.3366336633663,29.4017949206244,2.92558794049484,5.80428314887775,"Invertebrates"
"108",2008,"Haliotiscorrugata","InConcession",110,1.84545454545455,2.54567942531008,0.242721009624538,0.481065150151849,"Algae"
"110",2008,"Haliotisfulgens","InConcession",110,0.727272727272727,1.43296120493393,0.136627490074479,0.270791243531911,"Algae"
"119",2008,"Macrocystispyrifera","OutConcession",109,22.6330275229358,9.45129870603596,0.905270233011789,1.79440265110378,"Invertebrates"
"122",2008,"Megathuracrenulata","OutConcession",110,2.50909090909091,2.60467277539599,0.248345804856657,0.492213311438334,"Algae"
"123",2008,"Mesocentrotusfranciscanus","InConcession",110,2.00909090909091,5.93465248210903,0.565846912186445,1.12149018412131,"Algae"
"130",2008,"Panulirusinterruptus","InConcession",110,12.9090909090909,33.181332613811,3.16371593085834,6.27038212172263,"Algae"
"131",2008,"Paralabraxclathratus","OutConcession",110,7.1,7.29326697161608,0.695385721081643,1.37823189201078,"Fish"
"133",2008,"Parastichopusparvimensis","InConcession",110,2.44545454545455,3.83988332113533,0.366118509377065,0.725634982976125,"Algae"
"140",2008,"Semicossyphuspulcher","InConcession",110,5.71818181818182,5.73118272082499,0.546446831643739,1.0830398551874,"Fish"
"148",2009,"Centrostephanuscoronatus","OutConcession",137,3.26277372262774,5.58526168878823,0.477181109416828,0.943654645297591,"Algae"
"149",2009,"Chromispunctipinnis","OutConcession",137,16.5912408759124,23.2674838576618,1.98787530095945,3.93114422386767,"Fish"
"152",2009,"Eiseniaarborea","OutConcession",124,35.258064516129,48.0867899253957,4.31832121402439,8.54785206569888,"Invertebrates"
"156",2009,"Haliotiscorrugata","InConcession",137,0.956204379562044,1.24184761035065,0.106098201562034,0.209815641872521,"Algae"
"158",2009,"Haliotisfulgens","InConcession",137,0.678832116788321,1.60392123619026,0.137032239051369,0.270989581072033,"Algae"
"167",2009,"Macrocystispyrifera","OutConcession",137,21.6788321167883,10.9591046667421,0.936299499375059,1.85158916507587,"Invertebrates"
"170",2009,"Megathuracrenulata","OutConcession",137,2.69343065693431,2.95943666090957,0.252841737377581,0.500009902514918,"Algae"
"171",2009,"Mesocentrotusfranciscanus","InConcession",137,0.635036496350365,1.7015387171649,0.145372263291138,0.287482485884152,"Algae"
"178",2009,"Panulirusinterruptus","InConcession",137,11.3138686131387,19.6770812580411,1.68112650543224,3.32452983757637,"Algae"
"179",2009,"Paralabraxclathratus","OutConcession",137,7.13138686131387,13.4130190915658,1.14595155739803,2.26618885174697,"Fish"
"181",2009,"Parastichopusparvimensis","InConcession",137,2.5036496350365,4.49856854289954,0.384338648338995,0.760053035870872,"Algae"
"191",2009,"Semicossyphuspulcher","InConcession",137,6.26277372262774,5.05451177748318,0.431836084311231,0.853982102236684,"Fish"
"200",2010,"Centrostephanuscoronatus","OutConcession",124,4.05645161290323,6.98232660848505,0.627031439683272,1.24117028847881,"Algae"
"201",2010,"Chromispunctipinnis","OutConcession",117,9.5042735042735,15.4755780526118,1.43071769708044,2.83371667301591,"Fish"
"205",2010,"Eiseniaarborea","OutConcession",99,27.0505050505051,36.904834520247,3.70907542587317,7.3605394689625,"Invertebrates"
"209",2010,"Haliotiscorrugata","InConcession",124,0.669354838709677,2.11737594233899,0.19014597281401,0.376382294402749,"Algae"
"211",2010,"Haliotisfulgens","InConcession",124,0.233870967741935,0.744725310496001,0.066878307159309,0.132381508384688,"Algae"
"220",2010,"Macrocystispyrifera","OutConcession",124,23.1451612903226,9.11952568691276,0.81895758266945,1.62107632058639,"Invertebrates"
"223",2010,"Megathuracrenulata","OutConcession",124,1.70161290322581,2.15263060361143,0.193311934856855,0.382649122145892,"Algae"
"224",2010,"Mesocentrotusfranciscanus","InConcession",124,0.25,0.802688571669879,0.0720835616741046,0.142684990537031,"Algae"
"231",2010,"Panulirusinterruptus","InConcession",124,6,9.10463118105777,0.817620016558137,1.61842869048179,"Algae"
"232",2010,"Paralabraxclathratus","OutConcession",117,9.38461538461539,10.2485038048842,0.947474511930716,1.87659265499721,"Fish"
"234",2010,"Parastichopusparvimensis","InConcession",124,2.98387096774194,4.58698028618142,0.411922989845238,0.815376301378953,"Algae"
"244",2010,"Semicossyphuspulcher","InConcession",117,6.88888888888889,5.47687580490698,0.506337347280518,1.00286491603995,"Fish"
"253",2011,"Centrostephanuscoronatus","OutConcession",123,4.13008130081301,7.45693576323027,0.672369254537034,1.33102209457965,"Algae"
"254",2011,"Chromispunctipinnis","OutConcession",123,7.09756097560976,15.35183794953,1.38422861154263,2.7402187912075,"Fish"
"257",2011,"Eiseniaarborea","OutConcession",98,21.4897959183673,30.8492326085308,3.11624308169904,6.18487989750376,"Invertebrates"
"261",2011,"Haliotiscorrugata","InConcession",123,0.609756097560976,1.05297506969588,0.0949435646406596,0.187950269025737,"Algae"
"263",2011,"Haliotisfulgens","InConcession",123,0.0731707317073171,0.365986914289879,0.0329999287300816,0.0653266549041368,"Algae"
"272",2011,"Macrocystispyrifera","OutConcession",122,21.7622950819672,12.4130385187342,1.12382370294812,2.22490544254129,"Invertebrates"
"275",2011,"Megathuracrenulata","OutConcession",123,2.30081300813008,2.51205278003179,0.226504171243658,0.448387629870658,"Algae"
"276",2011,"Mesocentrotusfranciscanus","InConcession",123,0.186991869918699,0.693643191405019,0.0625437002983716,0.12381150151076,"Algae"
"283",2011,"Panulirusinterruptus","InConcession",123,6.01626016260163,14.4227641900774,1.30045685181617,2.57438422583238,"Algae"
"284",2011,"Paralabraxclathratus","OutConcession",123,7.98373983739837,8.18132994503128,0.737685678263008,1.46032247905077,"Fish"
"286",2011,"Parastichopusparvimensis","InConcession",123,3.36585365853659,4.46712635962258,0.402787219269415,0.797357530321698,"Algae"
"295",2011,"Semicossyphuspulcher","InConcession",123,5.75609756097561,5.19195699452786,0.468142996646496,0.926735819275766,"Fish"
"303",2012,"Centrostephanuscoronatus","OutConcession",116,5.37931034482759,8.20567690280841,0.761877973719315,1.50913363574419,"Algae"
"304",2012,"Chromispunctipinnis","OutConcession",116,13.1293103448276,18.6517420435564,1.73177077318467,3.43030460698755,"Fish"
"307",2012,"Eiseniaarborea","OutConcession",81,12.4320987654321,12.6411414354133,1.40457127060148,2.79518590816889,"Invertebrates"
"311",2012,"Haliotiscorrugata","InConcession",116,0.491379310344828,0.908852019859668,0.0843847915903689,0.167150031536684,"Algae"
"313",2012,"Haliotisfulgens","InConcession",116,0.267241379310345,0.858287056679855,0.079689952621576,0.157850459103031,"Algae"
"322",2012,"Macrocystispyrifera","OutConcession",115,17.8434782608696,9.76261334758902,0.910368388761783,1.80343276645778,"Invertebrates"
"325",2012,"Megathuracrenulata","OutConcession",116,2.37931034482759,2.48002514858845,0.230264554327363,0.456109765660572,"Algae"
